Alert, AlertCommand
Seed And Boundary, FusionSelectSeedAndBoundaryFacesCommand
Find Features, FusionFindFeaturesCommand
Remove Faces, FusionRemoveFacesCommand
Edit Remove Faces, FusionRemoveFacesEditCommand
Remove Features, FusionRemoveFeaturesCommand
Edit Remove Features, FusionRemoveFeaturesEditCommand
Remove Details, FusionRemoveDetailsCommand
Dissolve, DissolveFeatureCmdDef
Dissolve Features, DissolveFeaturesCmdDef
Edit Feature , DcReplaceWithPrimitiveEditCommand
Replace with Primitives, ReplaceWithPrimitivesCommand
Convert, TSpline2BRepCommand
Check Conversion, ConversionAnalysisCommand
Offset Plane, WorkPlaneOffsetFromPlaneCommand
Edit Feature , FusionDcEditWorkPlaneByPlaneOffsetCommand
Edit Feature , FusionDcEditWorkPlaneByLineAndAngleCommand
Edit Feature , FusionDcEditWorkPlaneFromTwoPlanesCommand
Edit Feature , FusionDcEditWorkPlaneFromTwoLinesCommand
Edit Feature , FusionDcEditWorkPlaneTangentToCylinderCommand
Edit Feature , FusionDcEditWorkPlaneTangentToFaceAtPointCommand
Edit Feature , FusionDcEditWorkPlaneFromThreePointsCommand
Edit Feature , FusionDcEditWorkPlaneAlongPathCommand
Edit Feature , FusionDcEditWorkAxisThroughCylinderCommand
Edit Feature , FusionDcEditWorkAxisFromLineCommand
Edit Feature , FusionDcEditWorkAxisFromTwoPointsCommand
Edit Feature , FusionDcEditWorkAxisFromTwoPlanesCommand
Edit Feature , FusionDcEditWorkAxisNormalToFaceCommand
Edit Feature , FusionDcEditWorkAxisFromPointAndFaceCommand
Edit Feature , FusionDcEditWorkPointCommand
Edit Feature , FusionDcEditWorkPointFromTwoLinesCommand
Edit Feature , FusionDcEditWorkPointFromThreePlanesCommand
Edit Feature , FusionDcEditWorkPointFromCircleOrSphereCommand
Edit Feature , FusionDcEditWorkPointFromLineAndPlaneCommand
Edit Feature , FusionDcEditWorkPointAlongPathCommand
Plane at Angle, WorkPlaneFromLineAndAngleCommand
Tangent Plane, WorkPlaneTangentToCylinderCommand
Midplane, WorkPlaneFromTwoPlanesCommand
Plane Through Two Edges, WorkPlaneFromTwoLinesCommand
Plane Through Three Points, WorkPlaneFromThreePointsCommand
Axis Through Cylinder/Cone/Torus, WorkAxisThroughCylinderCommand
Axis Through Two Planes, WorkAxisFromTwoPlanesCommand
Axis Through Two Points, WorkAxisFromTwoPointsCommand
Axis Perpendicular at Point, WorkAxisNormalToFaceCommand
Point Through Three Planes, WorkPointFromThreePlanesCommand
Point Through Two Edges, WorkPointFromTwoLinesCommand
Point at Vertex, WorkPointFromPointCommand
Point at Center of Circle/Sphere/Torus, WorkPointFromCircleOrSphereCommand
Point at Edge and Plane, WorkPointFromLineAndPlaneCommand
Point Along Path, WorkPointAlongPathCommand
Point from coordinates, WorkPointFromCoordsCommand
Axis Through Edge, WorkAxisFromLineCommand
Axis Perpendicular to Face at Point, WorkAxisFromPointAndFaceCommand
Plane Tangent to Face at Point, WorkPlaneFromPointAndFaceCommand
Plane from Point and Normal, WorkPlaneFromPointAndNormalCommand
Plane Along Path, WorkPlaneAlongPathCommand
Drag Work Axis Extent, FusionDragWorkAxisExtentCommand
Drag Work Plane Extent, FusionDragWorkPlaneExtentCommand
New Component, FusionCreateNewComponentCommand
Create Components from Bodies, FusionCreateNewCompCmdFromBody
New Component, FusionCreateNewCompCmdFromSel
Edit Feature , FusionCreateComponentFromBodyEditCommand
Export..., FusionExportComponentCommand
Save Copy As, FusionSaveAsComponentCommand
Save Configured Design As, FusionSaveAsConfiguredDesignCommand
Save Configuration As, FusionSaveAsConfigurationCommand
Save As and Replace, FusionSaveAsAndReplaceComponentCommand
Save As OBJ, FusionSaveAsOBJCommand
Save Control Frame as OBJ, FusionSaveControlFrameAsOBJCommand
Save T-Spline as IGA, TSplineSaveAsIGACommand
Activate, FusionActivateLocalCompCmd
Edit In Place, BeginEditInPlaceCmd
Edit Context, BeginEIPAsEditContextCmd
Activate Context, BeginEIPAsActivateContextCmd
Sync Assembly Context, ContextUpdateFromParentCmd
Sync All Assembly Contexts, ContextUpdateAllFromParentCmd
Finish Edit In Place, EndEditInPlaceCmd
Edit Context, EndEIPAsEditContextCmd
Activate Context, EndEIPAsActivateContextCmd
Activate Context, EIPContextActivateCmd
Edit Context, EIPContextActivateAsEditCmd
Finish Editing Context, EIPLocalContextActivateCmdDef
Sync Assembly Context, EIPContextUpdateCmd
Break Link, EIPContextBreakLinkCmd
Break Link All, EIPContextBreakLinkAllCmdDef
Non-associative, EIPNonAssociativeToggleCmd
Associative, EIPAssociativeToggleCmd
Reference Objects, ReferenceObjectsCmd
New Group, FusionCreateSurfaceGroupCommand
Move to Group, FusionMoveToSurfaceGroupCommand
Paste New, FusionPasteNewCommand
Make Independent, FusionMakeIndependentCommand
Properties, FusionPropertiesCommand
Opacity Control, OpacityControlCmd
Custom Opacity, CustomOpacityControlCmd
10%, OpacityCtrlTenCmd
20%, OpacityCtrlTwentyCmd
30%, OpacityCtrlThirtyCmd
40%, OpacityCtrlFortyCmd
50%, OpacityCtrlFiftyCmd
60%, OpacityCtrlSixtyCmd
70%, OpacityCtrlSeventyCmd
80%, OpacityCtrlEightyCmd
90%, OpacityCtrlNinetyCmd
100%, OpacityCtrlHundredCmd
Display Detail Control, TessellationControlCmd
Dielectric Priority Control, DielectricPriorityControlCmd
Background Canvas, FusionAddBackgroundCanvasCommand
Canvas, FusionAddCanvasCommand
Edit Feature , FusionDcEditCanvasCommand
Edit Canvas, FusionEditCanvasCommand
Calibrate, FusionCalibrateCanvasCommand
Decal, FusionAddDecalCommand
Decal, FusionAddEditDecalCommand
Edit Feature, FusionDcEditDecalCommand
Edit Decal, FusionEditDecalCommand
Replace Image File, FusionReplaceDecalImageCommand
Replace Canvas Image File, FusionReplaceCanvasImageCommand
Display Component Colors, FusionViewColorCyclingToggleCmd
Display Mesh Face Groups, FacegroupsToggleCmd
Toggle Visibility, AnalysisVisibilityToggleCmd
Curvature Comb Analysis, FusionCurvatureCombAnalysisCommand
Edit, FusionEditCurvatureCombAnalysisCommand
Toggle Curvature Display, FusionToggleSetupCurveCurvatureCombCommand
Toggle Curvature Display, FusionToggleCurveCurvatureCombCommand
Setup Curvature Display, FusionCurveCurvatureCombSetupCommand
Zebra Analysis, FusionZebraAnalysisCommand
Edit, FusionEditZebraAnalysisCommand
Draft Analysis, FusionDraftAnalysisCommand
Edit, FusionEditDraftAnalysisCommand
Curvature Map Analysis, FusionCurvatureMapAnalysisCommand
Edit, FusionEditCurvatureMapAnalysisCommand
Accessibility Analysis, FusionAccessibilityAnalysisCommand
Edit, FusionEditAccessibilityAnalysisCommand
Minimum Radius Analysis, FusionMinimumRadiusAnalysisCommand
Edit, FusionEditMinimumRadiusAnalysisCommand
Isocurve Analysis, FusionIsoCurveAnalysisCommand
Edit, FusionEditIsoCurveAnalysisCommand
Section Analysis, FusionHalfSectionViewCommand
Edit, FusionEditHalfSectionViewCommand
Center of Mass, FusionCenterOfMassCommand
Edit, FusionEditCenterOfMassCommand
GrabCAD, FusionPublishToGrabCADCommand
Autodesk Gallery, ShareToFusion360GalleryCommand
Share, ShareToFusion360GallerySubCommand
Open 3rdPartyCAD, OpenNonFusionCADFileCommand
Open AddIn Supported File, OpenAddInSupportedFileCommand
AddIn Supported File Command, AddInSupportedFileCommand
Save As Mesh, FusionSaveAsSTLCommand
Window Selection, selectWindow
Freeform Selection, selectFreeForm
Paint Selection, selectPaint
Select Adjacent Faces, selectAdjacent
Rename, FusionRenameTimelineEntryCommand
Rename, RenameBrowserCmd
Break Link, BreakXRefLinkCmd
Choose Version, ChooseVersionCmd
History, ShowHistoryCmd
Get Latest Version, PLM360RefreshDocumentCommand
Get Latest Updates, PLM360DeepRefreshDocumentCommand
Get Latest Version, GetLatestCmd
Get Latest Milestone Version, GetLatestMilestoneCmd
Update External References, GetAllLatestCmd
Get All Latest Versions, UpdateAllLatestCmd
Invert Selection, SelectByInvertCommand
Select All Occurrences, FusionSelectAllOccurrencesCommand
Select Similar Occurrences, FusionSelectSimilarOccurrencesCommand
Insert McMaster-Carr Component, InsertMcMasterCarrComponentCommand
Insert DXF, ImportDxfFileCommand
Read-Only For Me, EnableReadOnlyCmd
Read-Only For Me, DisableReadOnlyCmd
Select By Name, SelectByNameCommand
Activate Working Model, ActivateWorkingModelAssetCommand
New Working Model, CreateWorkingModelAssetCommand
Update Clone, UpdateAssociativeCloneCommand
Update Lightweight Clone, UpdateLightweightWorkingModel
Break Link, BreakWorkingModelLinkCmd
Insert Derive, PullDeriveCommand
Open Source, OpenDeriveDocumentCommand
Save As Latest, PLM360SaveAsLatestCommand
Save As Latest, PLM360SaveAsLatestOnQATCommand
Edit Derive Feature, EditDeriveCommand
Derive, PushDeriveCommand
Edit Derived Design, EditDeriveSourceCommand
Break Link, BreakExternalDeriveLinkCmd
Open..., OpenCommand
Show Insert Design, ShowInsertDialogCommand
Auto Constrain, SketchAutoConstrainCmd
Hide Insert Design, HideInsertDialogCommand
Insert Design, InsertDialogCommand
Replace Component, FusionComponentReplaceCommand
Switch Configuration, FusionComponentChangeConfigCommand
Edit Feature, APIFeatureEditCommand
Install Add-In..., InstallAppAddInCommand
Insert T-Spline, TSplineImportCommand
Edit Form, TSplineEditCommand
Extrude, TSplineExtrudeCommand
Revolve, TSplineRevolveCommand
Sweep, TSplineSweepCommand
Insert Edge, TSplineInsertEdgeCommand
Slide Edge, TSplineSlideEdgeCommand
Bevel Edge, TSplineBevelEdgeCommand
Insert Point, TSplineInsertPointCommand
Thicken, TSplineThickenCommand
Weld Vertices, TSplineWeldCommand
UnWeld Edges, TSplineUnWeldCommand
Plane, TSplinePrimitivePlaneCommand
Box, TSplinePrimitiveBoxCommand
Cylinder, TSplinePrimitiveCylinderCommand
Sphere, TSplinePrimitiveSphereCommand
Quadball, TSplinePrimitiveQuadBallCommand
Torus, TSplinePrimitiveTorusCommand
Mirror - Internal, TSplineInternalMirrorSymmetryCmd
Circular - Internal, TSplineInternalCircularSymmetryCmd
Mirror - Duplicate, TSplineReflectionMirrorSymmetryCmd
Circular - Duplicate, TSplineReflectionCircularSymmetryCmd
Clear Symmetry, TSplineClearSymmetryCommand
Face, TSplineAppendFaceCommand
Display Mode, TSplineToggleTessModeCmd
Enable Better Performance, TSplineCapSettingCommand
Fill Hole, TSplineFillHoleCmd
Erase And Fill, TSplineEraseAndFillCmd
Subdivide, TSplineSubsetCmd
Smooth, TSplineSmoothCmd
Cylindrify, TSplineCylindrifyCmd
Make Uniform, TSplineMakeUniformCmd
Crease, TSplineCreasedEdgeCommand
UnCrease, TSplineUnCreaseEdgeCmd
Bridge, TSplineBridgeSubDCmd
Merge Edge, TSplineMergeEdgeCmd
Flatten, TSplineFlattenSubDCmd
Straighten, TSplineStraightenCmd
Edit By Curve, TSplineEditByCurveCmd
Pull, TSplinePullSubDCmd
Interpolate, TSplineInterpolateSubDCmd
Repair Body, TSplineRepairBodyCmd
Match, TSplineMatchCmd
Edit Match, TSplineMatchEditCmd
Pipe, TSplinePrimitivePipe
Edit Pipe, TSplinePipeEditCommand
Isolate Symmetry, TSplineIsolateSymmetryCmd
T-Spline Entity Info, TSplineDumpEntityCommand
Save *.tsm file, TSplineSaveAsTSMCommand
Save *.tss file, TSplineSaveCurvesAsTSSCommand
T-Spline Diagnostics, TSplineDiagnosticCommand
Assembly Info, AssemblyInfoCommand
Freeze, TSplineFreezeCmd
UnFreeze, TSplineUnFreezeCmd
Activate Simulation Model, ActivateWorkingModelCommand
Activate Generative Model, ActivateGenWorkingModelCommand
Copy Working Model, CopyWorkingModelCommand
Delete Working Model, DeleteWorkingModelCommand
Copy Working Model, activate it and import gemetry, CopyWorkingModelAndImportCommand
Extract TSpline from Surface Body, ExtractTSSurfaceBodyCommand
Convert Surface Body to TSpline, ConvertSurfaceBody2TSCommand
Finish Simplify, FinishSimplifyCommand
Finish Edit Model, FinishEditModelCommand
Delete, FusionDeleteOverrideCommand
Remove All Except Selected, SoftDeleteAllUnselectedCommand
Simulate in CFD, FusionSimulateInCFDCommand
CFD Model Assessment Tool, FusionCFDModelAssessmentToolCommand
Simulate in CFD, FusionSimulateInCFD2020Command
CFD Model Assessment Tool, FusionCFD2020ModelAssessmentToolCommand
Simulate in CFD, FusionSimulateInCFD2021Command
CFD Model Assessment Tool, FusionCFD2021ModelAssessmentToolCommand
Simulate in CFD, FusionSimulateInCFD2023Command
CFD Model Assessment Tool, FusionCFD2023ModelAssessmentToolCommand
Simulate in CFD, FusionSimulateInCFD2024Command
CFD Model Assessment Tool, FusionCFD2024ModelAssessmentToolCommand
Simulate in Moldflow Adviser, FusionSimulateInMoldflowAdviserCommand
Simulate in Moldflow Insight, FusionSimulateInMoldflowInsightCommand
Sheet Metal Rules, FusionSheetMetalRulesCommand
Flange, FusionSheetMetalFlangeCommand
Edit Feature , FusionBaseFaceEditCommand
Bend, SheetMetalBendCmd
Edit Feature, SheetMetalBendEditCmd
Convert to Sheet Metal, ConvertToSheetMetalCmd
Convert to Sheet Metal, DMConvertToSheetMetalCmd
Edit Feature, ConvertToSheetMetalEditCmd
Switch Sheet Metal Rule, ChangeSheetMetalDataCommand
Unfold, FusionSheetmetalUnfoldCommand
Edit Feature, SheetmetalEditUnfoldCommand
Refold, FusionSheetmetalRefoldCommand
Create Flat Pattern, FusionSheetMetalFlatPatternCmd
Finish Flat Pattern, FusionSheetMetalExitFlatPatternCmd
Update Flat Pattern, UpdateFlatPatternCommand
Update Flat Pattern, UpdateFlatPatternFromMainDesignCommand
Update All Flat Patterns, UpdateAllFlatPatternsCommand
Activate, FusionSheetMetalFlatPatternActivateCmd
Export Flat Pattern as DXF, FlatPatternDXFExportCmd
Rip, FusionSheetMetalRipCommand
Edit Feature, SheetMetalRipEditCmd
Patch, FusionSurfacePatchCommand
Edit Feature , FusionSurfacePatchEditCommand
Edit Feature , FusionDcSurfaceOffsetEditCommand
Edit Feature , FusionDcSurfaceOffsetShellEditCommand
Edit Feature , FusionDcMidSurfaceEditCommand
Edit Feature , FusionDcSurfaceShellEditCommand
Edit Feature , FusionDcSurfaceDeleteFaceEditCommand
Edit Feature , FusionDcReverseNormalEdit
Edit Feature , FusionDcSurfaceTrimEditCommand
Merge, FusionSurfaceMergeCommand
Delete Faces, FusionSurfaceDeleteFacesCommand
Reverse Normal, FusionSurfaceReverseNormalCommand
Trim, FusionSurfaceTrimCommand
Stitch, FusionSurfaceStitchCommand
Edit Feature , FusionSurfaceStitchEditCommand
Unstitch, FusionSurfaceUnStitchCommand
Edit Feature , FusionSurfaceUnStitchEditCommand
Offset, FusionSurfaceOffsetCommand
Ruled, FusionSurfaceRuledCommand
Edit Feature , FusionDcSurfaceRuledEditCommand
Untrim, FusionSurfaceUntrimCommand
Edit Feature , FusionDcSurfaceUntrimEditCommand
Midsurface Shell, FusionSurfaceMidsurfaceShellCommand
Offset Shell, FusionSurfaceOffsetShellCommand
Shell from Surface, SurfaceShellConvertCommand
Edit Midsurface Shell, FusionSurfaceMidsurfaceShellEditCommand
Edit Surface Shell, FusionSurfaceShellEditCommand
Revolve, SurfaceRevolve
Sweep, SurfaceSweep
Validate, FusionSurfaceValidateCommand
Transparent Surfaces Toggle, FusionSurfaceTransparencyCommand
Toggle Surface Body Transparency, FusionSurfaceSelectionTransparencyCommand
PCB Profile, PCBDefineBoardCmd
Copy EAGLE Profile, PCBImprintCmd
Edit, PCBActivate
Finish PCB, PCBStop
Create Independent PCB, PCBCreateCmd
Create Associative PCB, PCBDeriveCmd
Create PCB, PCBWorkspaceCmd
PCB Status, PCBStatusCmd
Move PCB Components, PCBMoveComponentsCmd
Flip Component, PCBFlipComponentCmd
New 3D PCB, PCBNewDocumentCmd
Replace Component Body, PCBReplaceComponentCmd
Update PCB Component, PCBUpdateComponentCmd
Move PCB Component body, PCBMoveComponentBodyCmd
Edit EAGLE Profile, PCBBoardSketchEditCmd
Flip 3D PCB Component, PCB3DFlipComponentCmd
Move 3D PCB Component, PCB3DMoveComponentsCmd
Update 3D PCB, PCBDocumentUpdateCmd
Edit Board, PCBEditBoardCmd
Edit Sketch, PCB3DBoardOutlineEditCommand
PCBHole, PCBHoleCmd
Edit Feature , PCBDcHoleEditCommand
Push to 2D PCB, PCBExportIdfCmd
Bolted Connection, FusionBoltConnCommand
Edit Bolted Connection, DcBoltConnEdit
Boss, FusionBossCommand
Snap Fit, FusionSnapFitCommand
Rest, FusionRestCommand
Lip, FusionLipCommand
Edit Feature, DcBossEdit
Edit Feature, DcSnapFitEdit
Edit Feature, DcRestEdit
Edit Feature, DcLipEdit
Manage Plastic Rules, FusionManagePlasticRuleCommand
Assign Plastic Rule, FusionAssignPlasticRuleCommand
Assign Plastic Rule, FusionSwitchPlasticRuleCommand
Remove Plastic Rule, FusionRemovePlasticRuleCommand
Design Advice, DesignAdviceCmd
Properties, SimPropertiesCommand
Activate object, SimActivateCmd
Edit object via doubleclick, SimDoubleClickCmdDef
Edit object, SimEditCmd
Change Unit Set, SimUnitsSettingsCommand
Show/Hide, SimVisibilityToggleCmd
Unsuppress All Children, SimUnsuppressAllCommand
Toggle Learning Panel, ToggleLearningPanelCmd
New Simulation Study, SimCreateSimCaseCommand
New Generative Study, SimCreateGenCaseCmd
New Generative Study, SimCreateGenCaseFluidsCmd
New Simulation Study From Generative Design, SimCreateSimCaseFromGenerativeDesignCommand
Explore Generative Results, ExploreCommand
Explore Generative Results, ExploreFluidsCommand
Thumbnail View, ExploreDisplayThumbnailViewCmd
Properties View, ExploreDisplayPropertiesViewCmd
Scatter Plot View, ExploreDisplayScatterPlotViewCmd
Table View, ExploreDisplayTableViewCmd
Model View, ExploreOutcomeProfileDisplayModelViewCmd
Model View, ExploreOutcomeProfileDisplayModelViewFluidsCmd
Transparent View, ExploreOutcomeProfileDisplayTransparentViewCmd
Transparent View, ExploreOutcomeProfileDisplayTransparentViewFluidsCmd
Stress View, ExploreOutcomeProfileDisplayStressViewCmd
Pressure View, ExploreOutcomeProfileDisplayStressViewFluidsCmd
Flow Line View, ExploreOutcomeProfileDisplayFlowLineViewFluidsCmd
Design Preview, ExploreOutcomeProfileDisplayExportPreviewCmd
Design Preview, ExploreOutcomeProfileDisplayExportPreviewFluidsCmd
Preserve Geometry View, ExploreOutcomeProfileDisplayPreserveViewCmd
Preserve Geometry View, ExploreOutcomeProfileDisplayPreserveViewFluidsCmd
Obstacle Geometry View, ExploreOutcomeProfileDisplayObstacleViewCmd
Obstacle Geometry View, ExploreOutcomeProfileDisplayObstacleViewFluidsCmd
Starting Shape View, ExploreOutcomeProfileDisplayStartingShapeViewCmd
Starting Shape View, ExploreOutcomeProfileDisplayStartingShapeViewFluidsCmd
Compare, ExploreOutcomeProfileCompareCmd
Compare, ExploreOutcomeProfileCompareFluidsCmd
Compare, ExploreOutcomeProfileCompareAddEnabledCmd
Compare, ExploreOutcomeProfileCompareAddDisabledCmd
Design from Outcome, ExploreOutcomeProfileExportSmtCmd
Design from Outcome, ExploreOutcomeProfileExportSmtFluidsCmd
Mesh Design from Outcome, ExploreOutcomeProfileExportStlCmd
Mesh Design from Outcome, ExploreOutcomeProfileExportStlFluidsCmd
Add to Favorites, ExploreFavoritesCmd
Add Label, ExploreLabelsCmd
Export CSV, ExploreSaveCSVCmd
Finish Explore, FinishExploreCmd
Finish Outcome View, FinishOutcomeViewCmd
Finish Results, FinishHawkeyeCmd
Finish Results, FinishDoraCmd
Activate Study, SimActivateSimCaseCommand
Expand active simulation Study, SimExpandActiveSimCaseCommand
Activate Load Case, SimActivateSimLoadCaseCmd
New Load Case, SimCreateSimLoadCaseCmd
Clone Load Case, SimDuplicateSimLoadCaseCmd
Clone Study, SimCopySimCaseCommand
Settings, SimCasePropertiesCmd
Study Settings, GenCasePropertiesCmd
Delete Study, SimDeleteSimCaseCommand
Mesh Settings, SimMeshSettingsCmd
Solve Settings, SimSolveSettingsCmd
Adaptive Mesh Refinement, SimConvergenceSettingsCmd
Contact Settings, SimContactsSettingsCmd
Enable, SimAutoSolverContactsEnableCmd
Disable, SimAutoSolverContactsDisableCmd
Study Materials, SimOverrideMaterialCommand
Material Properties, SimMaterialPropertiesCommand
Manage Physical Materials, SimMaterialEditCommand
Manage Physical Materials, GenMaterialEditCommand
Update Material, SimUpdateMaterialCommand
Update Simulation Study, SimUpdateCommand
Update simulation study results from cloud storage., SimReconnectJobOrganizerCommand
DOF View, SimDisplayDOFViewCommand
Groups View, SimDisplayGroupsViewCommand
Model View, SimDisplayNormalViewCommand
Isolate, SimIsolateCommand
Unisolate, SimUnisolateCommand
Unisolate All, SimUnisolateAllCommand
Switch to Fusion Model, SwitchToFusionCommand
Isolate, SimIsolateBodyCommand
Unisolate, SimUnisolateBodyCommand
Hide, SimHideCommand
Show, SimShowCommand
Transparent Surfaces Toggle, SimSurfaceTransparencyCmd
Show/Hide, ShowHideBodyCmd
Show All Components, SimVisibilityAllCommand
Show All Components, SimShowAllComponentsCommand
Show All Bodies, SimShowAllBodiesCommand
View Results, SimSwitchToPostProcessingCommand
Mesh View, SimSwitchToPreviewMeshCommand
DOF Colors, SimDofColorsCmd
Job Status, SimShowJobsDlgCmd
Job Status, GenShowJobsDlgCmd
Delete, SimDeleteCommonCommand
Remove, SimRemoveRigidBodyTargetCommand
Copy, SimCopyCommonCommand
Suppress, SimSuppressCommonCommand
Unsuppress, SimUnsuppressCommonCommand
Convergence Plot, SimConvergencePlotCmd
Report, SimReportCmd
Measure, SimMeasureCommand
Compare, SimActivateCompareCmd
Synchronize Camera, SimSyncCameraCmd
Select By Size, SimSelectBodiesBySizeCommand
Invert Selection, SimSelectByInvertCommand
Select By Boundary, SimSelectByBoundaryCommand
Select All Occurrences, SimSelectAllOccurrencesCommand
Select Similar Occurrences, SimSelectSimilarOccurrencesCommand
Select By Name, SimSelectByNameCommand
Switch and check Interference, SimSwitchToFusionAndRunInterferencesCommand
Alert, SimAttributesAlertCommand
Send Study to Ansys\AE Mechanical\99, SimExportToMechanicalCommand
Send Study to Ansys\AE Discovery\99, SimExportToDiscoveryCommand
Export Study to Ansys\AE Setup, SimExportToScalarisCommand
Solve Details, SimSolveDetailsCmd
Generate Details, GenGenerateDetailsCmd
Hide Generate Details, GenHideGenerateDetailsCmd
Cloud Credit Info, SimCloudCreditInfoCommand
Cloud Credit Info, SimGenCloudCreditInfoCommand
Objective-based design exploration, SimGen7DayTrialInfoCommand
Performance and manufacturing process insights, Sim7DayTrialInfoCommand
Enable Preview Study, SimEnablePreviewStudyCommand
Display Study Material Colors, SimSuppressAppearanceCommand
Compare, CompareCommand
Two Horizontal Views, Layout2HCommand
Two Vertical Views, Layout2VCommand
One Vertical and Two Horizontal Views, Layout1V2HCommand
One Horizontal and Two Vertical Views, Layout1H2VCommand
Four Views, Layout2x2Command
One Horizontal and Three Vertical Views, Layout1H3VCommand
One Vertical and Three Horizontal Views, Layout1V3HCommand
Synchronize Camera, CameraSyncCommand
Finish Compare, FinishCompareCmd
Surface Probes, SurfaceProbesCommand
Point Probes, PointProbesCommand
Show All Probes, ShowAllProbesCommand
Hide All Probes, HideAllProbesCommand
Delete All Probes, DeleteAllProbesCommand
Cutting Planes, CuttingPlaneCommand
Guided Results, GuidedResultsCommand
Results, ResultsBrowserCommand
Undo, DoraUndoCommand
Redo, DoraRedoCommand
Learn more, SimMissingEntitlementCommand
Solver Data, SimSolveLogCmd
Legend Min/Max, SimEditResultsLegendCmd
Legend Options, SimResultLegendOptionsCmd
Legend Options, SimResultLegendOptionsHotspotCmd
2D Chart, SimResultLegendCallChart1Cmd
2D Chart, SimResultLegendCallChart2Cmd
2D Chart, SimResultLegendCallChart3Cmd
Show result legend, SimResultsLegendShowCmd
Hide result legend, SimResultsLegendHideCmd
Reset, SimResultsLegendMinRefValueResetCmd
Reset, SimResultsLegendMaxRefValueResetCmd
Result Type, SimResultTypeCmd
Result Type Group, SimResultTypeGroupCmd
Result Units, SimResultUnitsCmd
Node Average, SimResultNodeAverageCmd
Activate Load Case, SimLoadCaseCmd
Result Frequency, SimDomainPoint1Cmd
Result Configuration, SimDomainPoint2Cmd
Result Configuration, SimDomainPoint3Cmd
Result Configuration, SimDomainPointInterpolable1Cmd
Result Configuration, SimDomainPointInterpolable2Cmd
Result Configuration, SimDomainPointInterpolable3Cmd
Results Details, SimResultsRecommendationsCmd
Automatically Show, SimResultsRecommendationsAutomaticallyShowCmd
Show design, SimResultRecommendationsShowDesignCmd
Edit Safety Factors, SimResultRecommendationsEditSafetyFactorCmd
Adjust Deformation Scale, SimResultRecommendationsDeformationScaleCmdDefKey
Legend Size/Shape, SimResultsLegendConfigurationCmd
Synchronize Min/Max, SimSyncRefValuesCmd
Synchronize Result Type, SimSyncResultTypeCmd
Contours, SimContourLinesCmd
Active Study View, ActiveSimCaseCommand
Toggle Mesh Visibility, SimToggleMeshCmd
Toggle Wireframe Visibility, SimToggleWireframeCmd
Undeformed, SimDisplacementScaleNoneCmd
Actual, SimDisplacementScaleActualCmd
Adjusted 0.5x, SimDisplacementScaleSmallCmd
Adjusted, SimDisplacementScaleNormalCmd
Adjusted 2x, SimDisplacementScaleLargeCmd
Adjusted 5x, SimDisplacementScaleLargestCmd
Show Min/Max, SimMinMaxProbesCmd
Create Surface Probes, SimSurfaceProbesCmd
Show All Probes, SimShowAllProbesCmd
Hide All Probes, SimHideAllProbesCmd
Delete All Probes, SimDeleteAllProbesCmd
Point Probe, SimPointProbeCmd
Edit Point Probe, SimEditPointProbeCmd
Point Probe, SimPointProbeStartCreationCmd
Create Point Probe, SimPointProbeCreateCmd
Properties, SimProbePropertiesCommand
Probe Selection, SimPointProbeSelectionCmd
Probe Drag, SimProbeDragCommand
Animate, SimAnimateCommand
Slice Plane, SimClippingPlaneStartCreationCmd
Edit Slice Plane, SimClippingPlaneEditCmd
Create Slice Plane, SimClippingPlaneCreateCmd
Two Horizontal Views, SimLayout2HCmd
Two Vertical Views, SimLayout2VCmd
One Vertical and Two Horizontal Views, SimLayout1V2HCmd
One Horizontal and Two Vertical Views, SimLayout1H2VCmd
Four Views, SimLayout2x2Cmd
One Horizontal and Three Vertical Views, SimLayout1H3VCmd
One Vertical and Three Horizontal Views, SimLayout1V3HCmd
2D Time Plot, SimTransResult2DPlotCmd
Finish Compare, SimFinishCompareCmd
Promote, SimPromoteCmd
Finish Results, FinishResultsCmd
Simulation Results, SimResultsCmd
Activate, SimActivateSimCaseForWorkingModelCommand
Delete Simulation Model, DeleteSimulationModelWithSimCasesCommand
Delete Generative Model, DeleteGenerativeModelWithSimCasesCommand
Clone Simulation Model, CopyWorkingModelWithSimCasesCommand
Clone Generative Model, CopyGenWorkingModelWithSimCasesCommand
Delete, DeleteSelectionGroupCmd
Simplify, SwitchToSimplifyCommand
Edit Model, EditModelCommand
Edit Model, EditModelFluidsCommand
New Simulation Model, CreateSimulationModelCommand
New Generative Model, CreateGenerativeModelCommand
Activate Config, SimActivateConfigRowCommand
Force, SimForceLoadCommand
Moment, SimMomentLoadCommand
Pressure, SimPressureLoadCommand
Bearing Load, SimBearingLoadCommand
Remote Force, SimRemoteForceLoadCommand
Structural Loads, SimLoadsCommand
Structural Loads, GenLoadsCommand
Edit Gravity, SimGravityCommand
Edit Gravity, GenGravityCommand
Angular Global Load, SimAngularBodyLoadCommand
Linear Global Load, SimLinearBodyLoadCommand
Toggle Gravity On, SimGravityActivateCommand
Toggle Gravity Off, SimGravityDeactivateCommand
Structural Constraints, SimNewConstraintCmd
Structural Constraints, SimNewConstraintExplicitQuasiStaticCmd
Structural Constraints, GenNewConstraintCmd
Fixed, SimConstraintFixedCmd
Pin, SimConstraintPinnedCmd
Frictionless, SimConstraintFrictionlessCmd
Prescribed Displacement, SimConstraintPrescribedDisplacementCmd
